===== ROUGE Scores (documents) =====
                                   rouge-1                               rouge-2                               rouge-l
118   {'r': 0.773, 'p': 0.347, 'f': 0.479}  {'r': 0.478, 'p': 0.175, 'f': 0.256}  {'r': 0.659, 'p': 0.296, 'f': 0.408}
119    {'r': 0.45, 'p': 0.159, 'f': 0.235}    {'r': 0.19, 'p': 0.05, 'f': 0.079}   {'r': 0.45, 'p': 0.159, 'f': 0.235}
120   {'r': 0.625, 'p': 0.117, 'f': 0.197}  {'r': 0.343, 'p': 0.049, 'f': 0.086}  {'r': 0.562, 'p': 0.105, 'f': 0.177}
121   {'r': 0.825, 'p': 0.236, 'f': 0.367}  {'r': 0.585, 'p': 0.126, 'f': 0.207}    {'r': 0.8, 'p': 0.229, 'f': 0.356}
122    {'r': 0.679, 'p': 0.161, 'f': 0.26}  {'r': 0.259, 'p': 0.041, 'f': 0.071}  {'r': 0.571, 'p': 0.136, 'f': 0.219}
123   {'r': 0.818, 'p': 0.164, 'f': 0.274}  {'r': 0.479, 'p': 0.063, 'f': 0.111}   {'r': 0.75, 'p': 0.151, 'f': 0.251}
124   {'r': 0.704, 'p': 0.176, 'f': 0.281}   {'r': 0.464, 'p': 0.09, 'f': 0.151}  {'r': 0.704, 'p': 0.176, 'f': 0.281}
125    {'r': 0.471, 'p': 0.25, 'f': 0.327}  {'r': 0.105, 'p': 0.048, 'f': 0.066}  {'r': 0.324, 'p': 0.172, 'f': 0.224}
126   {'r': 0.775, 'p': 0.161, 'f': 0.267}  {'r': 0.595, 'p': 0.092, 'f': 0.159}   {'r': 0.75, 'p': 0.156, 'f': 0.259}
127   {'r': 0.643, 'p': 0.062, 'f': 0.114}  {'r': 0.133, 'p': 0.007, 'f': 0.014}    {'r': 0.5, 'p': 0.049, 'f': 0.089}
128   {'r': 0.594, 'p': 0.097, 'f': 0.167}  {'r': 0.265, 'p': 0.029, 'f': 0.052}   {'r': 0.531, 'p': 0.087, 'f': 0.15}
129   {'r': 0.864, 'p': 0.142, 'f': 0.244}   {'r': 0.818, 'p': 0.09, 'f': 0.161}  {'r': 0.864, 'p': 0.142, 'f': 0.244}
130    {'r': 0.22, 'p': 0.129, 'f': 0.162}        {'r': 0.0, 'p': 0.0, 'f': 0.0}    {'r': 0.171, 'p': 0.1, 'f': 0.126}
131   {'r': 0.389, 'p': 0.136, 'f': 0.201}  {'r': 0.167, 'p': 0.047, 'f': 0.073}  {'r': 0.278, 'p': 0.097, 'f': 0.144}
132    {'r': 0.568, 'p': 0.129, 'f': 0.21}    {'r': 0.342, 'p': 0.059, 'f': 0.1}    {'r': 0.541, 'p': 0.123, 'f': 0.2}
133     {'r': 0.37, 'p': 0.27, 'f': 0.312}  {'r': 0.087, 'p': 0.062, 'f': 0.073}  {'r': 0.278, 'p': 0.203, 'f': 0.234}
134   {'r': 0.297, 'p': 0.147, 'f': 0.196}    {'r': 0.054, 'p': 0.02, 'f': 0.03}  {'r': 0.216, 'p': 0.107, 'f': 0.143}
135   {'r': 0.433, 'p': 0.116, 'f': 0.183}    {'r': 0.1, 'p': 0.021, 'f': 0.034}  {'r': 0.333, 'p': 0.089, 'f': 0.141}
136   {'r': 0.771, 'p': 0.136, 'f': 0.231}  {'r': 0.513, 'p': 0.063, 'f': 0.112}  {'r': 0.771, 'p': 0.136, 'f': 0.231}
137   {'r': 0.844, 'p': 0.154, 'f': 0.261}  {'r': 0.471, 'p': 0.051, 'f': 0.092}  {'r': 0.719, 'p': 0.131, 'f': 0.222}
138   {'r': 0.857, 'p': 0.198, 'f': 0.322}    {'r': 0.5, 'p': 0.087, 'f': 0.149}   {'r': 0.821, 'p': 0.19, 'f': 0.309}
139   {'r': 0.544, 'p': 0.131, 'f': 0.211}  {'r': 0.121, 'p': 0.021, 'f': 0.035}   {'r': 0.491, 'p': 0.118, 'f': 0.19}
140   {'r': 0.522, 'p': 0.226, 'f': 0.316}  {'r': 0.348, 'p': 0.138, 'f': 0.198}  {'r': 0.522, 'p': 0.226, 'f': 0.316}
141   {'r': 0.444, 'p': 0.167, 'f': 0.242}  {'r': 0.167, 'p': 0.048, 'f': 0.075}  {'r': 0.306, 'p': 0.115, 'f': 0.167}
142    {'r': 0.919, 'p': 0.11, 'f': 0.197}  {'r': 0.829, 'p': 0.062, 'f': 0.115}  {'r': 0.892, 'p': 0.107, 'f': 0.191}
143   {'r': 0.125, 'p': 0.034, 'f': 0.053}        {'r': 0.0, 'p': 0.0, 'f': 0.0}  {'r': 0.125, 'p': 0.034, 'f': 0.053}
144   {'r': 0.636, 'p': 0.144, 'f': 0.235}  {'r': 0.238, 'p': 0.036, 'f': 0.062}  {'r': 0.545, 'p': 0.124, 'f': 0.202}
145   {'r': 0.714, 'p': 0.131, 'f': 0.221}  {'r': 0.615, 'p': 0.087, 'f': 0.152}     {'r': 0.6, 'p': 0.11, 'f': 0.186}
146   {'r': 0.379, 'p': 0.117, 'f': 0.179}  {'r': 0.067, 'p': 0.017, 'f': 0.027}   {'r': 0.276, 'p': 0.085, 'f': 0.13}
147    {'r': 0.68, 'p': 0.075, 'f': 0.134}   {'r': 0.28, 'p': 0.019, 'f': 0.035}    {'r': 0.6, 'p': 0.066, 'f': 0.119}
148   {'r': 0.636, 'p': 0.172, 'f': 0.271}   {'r': 0.242, 'p': 0.05, 'f': 0.083}  {'r': 0.515, 'p': 0.139, 'f': 0.219}
149    {'r': 0.75, 'p': 0.145, 'f': 0.243}  {'r': 0.442, 'p': 0.054, 'f': 0.096}   {'r': 0.708, 'p': 0.137, 'f': 0.23}
150   {'r': 0.688, 'p': 0.102, 'f': 0.178}  {'r': 0.194, 'p': 0.019, 'f': 0.034}  {'r': 0.594, 'p': 0.088, 'f': 0.154}
151   {'r': 0.826, 'p': 0.086, 'f': 0.155}   {'r': 0.48, 'p': 0.028, 'f': 0.053}  {'r': 0.826, 'p': 0.086, 'f': 0.155}
152   {'r': 0.387, 'p': 0.069, 'f': 0.117}  {'r': 0.065, 'p': 0.009, 'f': 0.015}  {'r': 0.323, 'p': 0.057, 'f': 0.098}
153   {'r': 0.833, 'p': 0.066, 'f': 0.123}  {'r': 0.667, 'p': 0.033, 'f': 0.062}  {'r': 0.833, 'p': 0.066, 'f': 0.123}
154   {'r': 0.509, 'p': 0.138, 'f': 0.217}  {'r': 0.227, 'p': 0.048, 'f': 0.079}   {'r': 0.491, 'p': 0.133, 'f': 0.21}
155   {'r': 0.853, 'p': 0.108, 'f': 0.191}  {'r': 0.543, 'p': 0.037, 'f': 0.068}  {'r': 0.853, 'p': 0.108, 'f': 0.191}
156    {'r': 0.667, 'p': 0.211, 'f': 0.32}  {'r': 0.286, 'p': 0.062, 'f': 0.103}  {'r': 0.595, 'p': 0.188, 'f': 0.286}
157   {'r': 0.656, 'p': 0.127, 'f': 0.213}  {'r': 0.303, 'p': 0.036, 'f': 0.065}  {'r': 0.562, 'p': 0.109, 'f': 0.183}
158    {'r': 0.692, 'p': 0.09, 'f': 0.159}  {'r': 0.276, 'p': 0.027, 'f': 0.049}   {'r': 0.615, 'p': 0.08, 'f': 0.141}
159   {'r': 0.593, 'p': 0.093, 'f': 0.161}  {'r': 0.462, 'p': 0.044, 'f': 0.081}  {'r': 0.593, 'p': 0.093, 'f': 0.161}
